raw_text,clean_text
"This debt collector has engaged in conduct that violates the Fair Debt Collection Practices Act ( FDCPA ). They are reporting an account that I did not authorize, and no signed agreement exists bearing my signature to validate any obligation. A legally binding contract requires clear consent from all parties, which is absent in this case. 

Additionally, the collector has failed to provide proper validation of the alleged debt as required under the FDCPA. Without sufficient documentation verifying the debts legitimacy, their continued reporting and collection efforts are unlawful. 

These actions constitute violations of my consumer rights. As a result, I demand the immediate deletion of this account from all reporting agencies. Failure to comply may result in further legal action, including claims for damages.",debt collector engaged conduct violates fair debt collection practice act fdcpa reporting authorize signed agreement exists bearing signature validate obligation legally binding contract requires clear consent party absent case additionally collector failed provide proper validation alleged debt required fdcpa without sufficient documentation verifying debt legitimacy continued reporting collection effort unlawful action constitute violation right result demand immediate deletion reporting agency failure comply may result legal action including claim damage
"This debt collector has engaged in conduct that violates the Fair Debt Collection Practices Act ( FDCPA ). They are reporting an account that I did not authorize, and no signed agreement exists bearing my signature to validate any obligation. A legally binding contract requires clear consent from all parties, which is absent in this case. 

Additionally, the collector has failed to provide proper validation of the alleged debt as required under the FDCPA. Without sufficient documentation verifying the debts legitimacy, their continued reporting and collection efforts are unlawful. 

These actions constitute violations of my consumer rights. As a result, I demand the immediate deletion of this account from all reporting agencies. Failure to comply may result in further legal action, including claims for damages.",debt collector engaged conduct violates fair debt collection practice act fdcpa reporting authorize signed agreement exists bearing signature validate obligation legally binding contract requires clear consent party absent case additionally collector failed provide proper validation alleged debt required fdcpa without sufficient documentation verifying debt legitimacy continued reporting collection effort unlawful action constitute violation right result demand immediate deletion reporting agency failure comply may result legal action including claim damage
"This debt collector has engaged in conduct that violates the Fair Debt Collection Practices Act ( FDCPA ). They are reporting an account that I did not authorize, and no signed agreement exists bearing my signature to validate any obligation. A legally binding contract requires clear consent from all parties, which is absent in this case. 

Additionally, the collector has failed to provide proper validation of the alleged debt as required under the FDCPA. Without sufficient documentation verifying the debts legitimacy, their continued reporting and collection efforts are unlawful. 

These actions constitute violations of my consumer rights. As a result, I demand the immediate deletion of this account from all reporting agencies. Failure to comply may result in further legal action, including claims for damages.",debt collector engaged conduct violates fair debt collection practice act fdcpa reporting authorize signed agreement exists bearing signature validate obligation legally binding contract requires clear consent party absent case additionally collector failed provide proper validation alleged debt required fdcpa without sufficient documentation verifying debt legitimacy continued reporting collection effort unlawful action constitute violation right result demand immediate deletion reporting agency failure comply may result legal action including claim damage
These accounts were unauthorized and they are hurting my credit profile which is damaging my life and the way I live,account unauthorized hurting credit profile damaging life way live
"This debt collector has engaged in conduct that violates the Fair Debt Collection Practices Act ( FDCPA ). They are reporting an account that I did not authorize, and no signed agreement exists bearing my signature to validate any obligation. A legally binding contract requires clear consent from all parties, which is absent in this case. 

Additionally, the collector has failed to provide proper validation of the alleged debt as required under the FDCPA. Without sufficient documentation verifying the debts legitimacy, their continued reporting and collection efforts are unlawful. 

These actions constitute violations of my consumer rights. As a result, I demand the immediate deletion of this account from all reporting agencies. Failure to comply may result in further legal action, including claims for damages.",debt collector engaged conduct violates fair debt collection practice act fdcpa reporting authorize signed agreement exists bearing signature validate obligation legally binding contract requires clear consent party absent case additionally collector failed provide proper validation alleged debt required fdcpa without sufficient documentation verifying debt legitimacy continued reporting collection effort unlawful action constitute violation right result demand immediate deletion reporting agency failure comply may result legal action including claim damage
"I am a victim of identity theft caused by exposure in multiple data breaches, including XXXX XXXX XXXX and other existing breaches. Fraudulent accounts and inaccurate reporting accounts were wrongfully placed on my credit file. These items are not mine and must be deleted. Under FCRA 604 15 USC 1681b inquiries require permissible purpose. FCRA 605B 15 USC 1681c-2 requires blocking identity theft data within 4 business days. FCRA 611 15 USC 1681i requires blocking disputed identity theft data. FCRA 623a6 15 USC 1681s-2 prohibits furnishers from reporting identity theft accounts. FCRA 605a 15 USC 1681c bars reporting bankruptcies older than 10 years. I demand immediate blocking and permanent deletion of all fraudulent accounts and inquiries and cessation of reporting to third parties. Failure to comply violates FCRA 616-617 15 USC 1681n 1681o. Account name : Jefferson Capital, XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX, XXXX.",victim identity theft caused exposure multiple data breach including existing breach fraudulent account inaccurate reporting account wrongfully placed credit file item mine must deleted fcra usc inquiry require permissible purpose fcra usc requires blocking identity theft data within business day fcra usc requires blocking disputed identity theft data fcra usc prohibits furnishers reporting identity theft account fcra usc bar reporting bankruptcy older year demand immediate blocking permanent deletion fraudulent account inquiry cessation reporting third party failure comply violates fcra usc name jefferson capital
"Through this CFPB complaint, I am formally asserting my rights under the Fair Debt Collection Practices Act ( FDCPA ) and the Fair Credit Reporting Act ( FCRA ) by submitting a combined dispute and validation request to SOUTHWEST RECOVERY SERVICES. 
I have attached a detailed written request that outlines all necessary documentation to validate the alleged debt. Specifically, I am requesting : A complete copy of the original signed contract or agreement that created the alleged obligation. 
A full itemized account history, including all charges, payments, interest, fees, adjustments, and charge-offs. 
Documentation showing that SOUTHWEST RECOVERY SERVICES currently owns the debt, including any purchase or assignment contract. 
The name and address of the original creditor. 
Copies of any prior notices or communications, including the validation notice required under 15 U.S.C. 1692g ( a ). 
Additionally, to verify the accuracy and completeness of the information associated with this account, I have requested : The Date of First Delinquency ( DOFD ), as recorded by the original creditor. 
The charge-off date of the account. 
The assignment or purchase date, including documentation of the transfer to SOUTHWEST RECOVERY SERVICES. 
The full data set maintained for the account ( status, balance, date opened, dispute codes ). 
A description of the investigation procedure used, if this account has previously been disputed. 
This complaint ensures the request is formally submitted through a regulatory channel, with full documentation. 
Please ensure that all XXXX items requested in the attached letter are addressed completely and directly.",cfpb complaint formally asserting right fair debt collection practice act fdcpa fair credit reporting act fcra submitting combined dispute validation request southwest recovery service attached detailed written request outline necessary documentation validate alleged debt specifically requesting complete copy original signed contract agreement created alleged obligation full itemized history including charge payment interest fee adjustment charge offs documentation showing southwest recovery service currently owns debt including purchase assignment contract name address original creditor copy prior notice communication including validation notice required additionally verify accuracy completeness information associated requested date first delinquency dofd recorded original creditor charge date assignment purchase date including documentation transfer southwest recovery service full data set maintained status balance date opened dispute code description investigation procedure used previously disputed complaint ensures request formally submitted regulatory channel full documentation ensure item requested attached letter addressed completely directly
"I am a victim of identity theft caused by exposure in multiple data breaches, including XXXX  XXXX  XXXX  and other existing breaches. Fraudulent accounts and inaccurate reporting accounts were wrongfully placed on my credit file. These items are not mine and must be deleted. Under FCRA XXXX 15 USC 1681b inquiries require permissible purpose. FCRA XXXX 15 USC 1681c-2 requires blocking identity theft data within XXXX business days. FCRA XXXX 15 USC 1681i requires blocking disputed identity theft data. FCRA XXXX 15 USC 1681s-2 prohibits furnishers from reporting identity theft accounts. FCRA XXXX 15 USC 1681c bars reporting bankruptcies older than 10 years. I demand immediate blocking and permanent deletion of all fraudulent accounts and inquiries and cessation of reporting to XXXX XXXX. Failure to comply violates FCRA XXXX 15 USC 1681n 1681o. Account name : XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX, XXXX.",victim identity theft caused exposure multiple data breach including existing breach fraudulent account inaccurate reporting account wrongfully placed credit file item mine must deleted fcra usc inquiry require permissible purpose fcra usc requires blocking identity theft data within business day fcra usc requires blocking disputed identity theft data fcra usc prohibits furnishers reporting identity theft account fcra usc bar reporting bankruptcy older year demand immediate blocking permanent deletion fraudulent account inquiry cessation reporting failure comply violates fcra usc name
"I request validation of the alleged debt referenced in your recent communication, including the name of the original creditor, the total amount owed, documentation establishing my responsibility for the debt, and proof that your company is authorized to collect it.",request validation alleged debt referenced recent communication including name original creditor total amount owed documentation establishing responsibility debt proof authorized collect
"I am requesting validation of the alleged debt referenced in your recent communication, including the original creditor, the total amount owed, documents proving my responsibility for the debt, and proof that your company is authorized to collect it.",requesting validation alleged debt referenced recent communication including original creditor total amount owed document proving responsibility debt proof authorized collect
